30.6559 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1366, 768]. Using actual size
322.2120 	DATA 	round 2 - trial 118 - throw: 3to1 - UBALL
326.3942 	DATA 	Keypress: b
326.3948 	DATA 	Keypress: b
326.5191 	DATA 	Keypress: b
326.5938 	DATA 	round 2 - trial 119 - throw: 1to3 - UBALL
326.7990 	DATA 	Keypress: b
329.1600 	DATA 	Keypress: c
329.3597 	DATA 	round 2 - trial 120 - throw: 3to1 - UBALL
332.1193 	DATA 	Keypress: b
332.1200 	DATA 	Keypress: b
332.1202 	DATA 	Keypress: b
332.1207 	DATA 	Keypress: b
332.2311 	DATA 	Keypress: b
332.3190 	DATA 	round 2 - trial 121 - throw: 1to3 - UBALL
332.6074 	DATA 	Keypress: b
336.1368 	DATA 	Keypress: c
336.3365 	DATA 	round 2 - trial 122 - throw: 3to1 - UBALL
338.0866 	DATA 	Keypress: b
338.2863 	DATA 	round 2 - trial 123 - throw: 1to3 - UBALL
338.4104 	DATA 	Keypress: b
341.8801 	DATA 	Keypress: c
342.0071 	DATA 	Keypress: c
342.0798 	DATA 	round 2 - trial 124 - throw: 3to1 - UBALL
345.9401 	DATA 	Keypress: b
345.9407 	DATA 	Keypress: b
345.9409 	DATA 	Keypress: b
346.1396 	DATA 	round 2 - trial 125 - throw: 1to3 - UBALL
346.6950 	DATA 	Keypress: b
348.0070 	DATA 	Keypress: c
348.0126 	DATA 	round 2 - trial 126 - throw: 3to1 - UBALL
350.0437 	DATA 	round 2 - trial 127 - throw: 1to3 - UBALL
350.1270 	DATA 	Keypress: b
350.5509 	DATA 	Keypress: b
353.4782 	DATA 	Keypress: c
353.4789 	DATA 	Keypress: c
353.6779 	DATA 	round 2 - trial 128 - throw: 3to1 - UBALL
356.3991 	DATA 	Keypress: b
356.3998 	DATA 	Keypress: b
356.5988 	DATA 	round 2 - trial 129 - throw: 1to3 - UBALL
360.0596 	DATA 	Keypress: c
360.0605 	DATA 	Keypress: c
360.2593 	DATA 	round 2 - trial 130 - throw: 3to1 - UBALL
362.4572 	DATA 	Keypress: b
362.6554 	DATA 	Keypress: b
362.6569 	DATA 	round 2 - trial 131 - throw: 1to3 - UBALL
366.3486 	DATA 	Keypress: c
366.3494 	DATA 	Keypress: c
366.5483 	DATA 	round 2 - trial 132 - throw: 3to1 - UBALL
367.9192 	DATA 	Keypress: b
368.0051 	DATA 	round 2 - trial 133 - throw: 1to3 - UBALL
370.3661 	DATA 	Keypress: b
370.3662 	DATA 	Keypress: c
370.5652 	DATA 	round 2 - trial 134 - throw: 3to1 - UBALL
372.4477 	DATA 	Keypress: b
372.6470 	DATA 	round 2 - trial 135 - throw: 1to3 - UBALL
376.3777 	DATA 	Keypress: b
376.3779 	DATA 	Keypress: c
381.3808 	DATA 	Keypress: c
388.9607 	DATA 	Keypress: c
389.1604 	DATA 	END
